_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5bc9211ff9af8b0dc677c07c,0039,"Sat, 09 Jun 2018 16:45:15 GMT","Sat, 09 Jun 2018 18:51:41 GMT","Sat, 09 Jun 2018 18:51:36 GMT",12.881,2_39_129_17_2018-06-09 16:45:14.979158,0002,CA-307,2-39-129-17,America/Los_Angeles,,
5bc9211ff9af8b0dc677c07d,0039,"Sat, 09 Jun 2018 16:55:51 GMT","Sat, 09 Jun 2018 19:08:07 GMT","Sat, 09 Jun 2018 19:04:49 GMT",13.066,2_39_139_28_2018-06-09 16:55:50.522369,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc9211ff9af8b0dc677c07e,0039,"Sat, 09 Jun 2018 17:10:24 GMT","Sat, 09 Jun 2018 18:25:21 GMT","Sat, 09 Jun 2018 18:25:16 GMT",7.999,2_39_131_30_2018-06-09 17:10:24.402842,0002,CA-305,2-39-131-30,America/Los_Angeles,,
5bc9211ff9af8b0dc677c07f,0039,"Sat, 09 Jun 2018 17:37:08 GMT","Sat, 09 Jun 2018 20:54:39 GMT","Sat, 09 Jun 2018 18:41:26 GMT",3.426,2_39_78_366_2018-06-09 17:37:07.615101,0002,CA-323,2-39-78-366,America/Los_Angeles,,
5bc9211ff9af8b0dc677c080,0039,"Sat, 09 Jun 2018 17:37:26 GMT","Sat, 09 Jun 2018 20:43:47 GMT","Sat, 09 Jun 2018 20:07:33 GMT",7.676,2_39_78_365_2018-06-09 17:37:26.362312,0002,CA-321,2-39-78-365,America/Los_Angeles,,
5bc9211ff9af8b0dc677c081,0039,"Sat, 09 Jun 2018 17:42:16 GMT","Sat, 09 Jun 2018 20:36:42 GMT","Sat, 09 Jun 2018 19:16:42 GMT",4.616,2_39_127_19_2018-06-09 17:42:15.961973,0002,CA-309,2-39-127-19,America/Los_Angeles,,
5bc9211ff9af8b0dc677c082,0039,"Sat, 09 Jun 2018 18:00:53 GMT","Sun, 10 Jun 2018 00:32:21 GMT","Sat, 09 Jun 2018 22:47:34 GMT",28.703,2_39_95_27_2018-06-09 18:00:52.875936,0002,CA-319,2-39-95-27,America/Los_Angeles,,
5bc9211ff9af8b0dc677c083,0039,"Sat, 09 Jun 2018 18:31:47 GMT","Sun, 10 Jun 2018 03:36:35 GMT","Sat, 09 Jun 2018 20:19:45 GMT",5.744,2_39_95_444_2018-06-09 18:31:47.140160,0002,CA-497,2-39-95-444,America/Los_Angeles,,
5bc9211ff9af8b0dc677c084,0039,"Sat, 09 Jun 2018 18:37:38 GMT","Sun, 10 Jun 2018 00:57:39 GMT","Sun, 10 Jun 2018 00:54:06 GMT",14.1,2_39_131_30_2018-06-09 18:37:37.803732,0002,CA-305,2-39-131-30,America/Los_Angeles,,
5bc9211ff9af8b0dc677c085,0039,"Sat, 09 Jun 2018 18:51:50 GMT","Sat, 09 Jun 2018 20:06:34 GMT","Sat, 09 Jun 2018 20:06:26 GMT",4.093,2_39_78_361_2018-06-09 18:51:50.508724,0002,CA-493,2-39-78-361,America/Los_Angeles,,
5bc9211ff9af8b0dc677c086,0039,"Sat, 09 Jun 2018 18:57:09 GMT","Sat, 09 Jun 2018 19:42:32 GMT","Sat, 09 Jun 2018 19:42:28 GMT",4.459,2_39_138_29_2018-06-09 18:57:09.367949,0002,CA-304,2-39-138-29,America/Los_Angeles,,
5bc9211ff9af8b0dc677c087,0039,"Sat, 09 Jun 2018 19:17:32 GMT","Sat, 09 Jun 2018 23:21:36 GMT","Sat, 09 Jun 2018 23:08:47 GMT",14.01,2_39_125_21_2018-06-09 19:17:32.385165,0002,CA-311,2-39-125-21,America/Los_Angeles,,
5bc9211ff9af8b0dc677c088,0039,"Sat, 09 Jun 2018 19:44:56 GMT","Sat, 09 Jun 2018 20:26:55 GMT","Sat, 09 Jun 2018 20:26:51 GMT",1.27,2_39_79_382_2018-06-09 19:44:56.361757,0002,CA-491,2-39-79-382,America/Los_Angeles,,
5bc9211ff9af8b0dc677c089,0039,"Sat, 09 Jun 2018 19:53:10 GMT","Sat, 09 Jun 2018 20:32:59 GMT","Sat, 09 Jun 2018 20:32:54 GMT",4.024,2_39_139_28_2018-06-09 19:53:10.359348,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc9211ff9af8b0dc677c08a,0039,"Sat, 09 Jun 2018 20:40:30 GMT","Sat, 09 Jun 2018 21:03:38 GMT","Sat, 09 Jun 2018 21:03:29 GMT",2.42,2_39_129_17_2018-06-09 20:40:30.503271,0002,CA-307,2-39-129-17,America/Los_Angeles,,
5bc9211ff9af8b0dc677c08b,0039,"Sat, 09 Jun 2018 21:15:21 GMT","Sat, 09 Jun 2018 22:07:42 GMT","Sat, 09 Jun 2018 22:07:38 GMT",5.638,2_39_91_437_2018-06-09 21:15:21.276645,0002,CA-317,2-39-91-437,America/Los_Angeles,,
5bc9211ff9af8b0dc677c08c,0039,"Sat, 09 Jun 2018 22:03:09 GMT","Sun, 10 Jun 2018 02:57:59 GMT","Sun, 10 Jun 2018 01:05:55 GMT",15.512,2_39_92_436_2018-06-09 22:03:08.974974,0002,CA-318,2-39-92-436,America/Los_Angeles,,
5bc9211ff9af8b0dc677c08d,0039,"Sat, 09 Jun 2018 22:31:39 GMT","Sun, 10 Jun 2018 03:20:46 GMT","Sun, 10 Jun 2018 03:20:26 GMT",13.898,2_39_127_19_2018-06-09 22:31:38.607521,0002,CA-309,2-39-127-19,America/Los_Angeles,,
5bc9211ff9af8b0dc677c08e,0039,"Sat, 09 Jun 2018 23:11:03 GMT","Sun, 10 Jun 2018 01:54:47 GMT","Sun, 10 Jun 2018 01:29:33 GMT",13.894,2_39_129_17_2018-06-09 23:11:02.904350,0002,CA-307,2-39-129-17,America/Los_Angeles,,
5bc9211ff9af8b0dc677c08f,0039,"Sat, 09 Jun 2018 23:49:39 GMT","Sun, 10 Jun 2018 01:06:26 GMT","Sun, 10 Jun 2018 01:06:21 GMT",8.054,2_39_123_23_2018-06-09 23:49:39.188504,0002,CA-313,2-39-123-23,America/Los_Angeles,,
5bc9211ff9af8b0dc677c090,0039,"Sun, 10 Jun 2018 00:20:55 GMT","Sun, 10 Jun 2018 02:32:48 GMT","Sun, 10 Jun 2018 02:32:39 GMT",13.606,2_39_125_21_2018-06-10 00:20:54.604664,0002,CA-311,2-39-125-21,America/Los_Angeles,,
